HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.766950493875076
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,11.961686305384813
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,12.728336601436993
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.26199918981918
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.762266836943965
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,11.186128273789878
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1085,13.152007612889554
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,12.927574019586647
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.266174777931607
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,12.515636065594169
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.167557780910645
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.155337090314053
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.89147833226822
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,12.061093115185319
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,12.969685279462622
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,11.585450756774453
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.24936678178841
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.48122023859118
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,13.016017932418373
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,277,11.463955784688743
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,12.234426839026701
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.223612911694648
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.645347492476754
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,12.8723110095329
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,11.355077960298681
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,12.87003557869415
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,12.581593877265266
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,12.709792080035127
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.48931738757702
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.201637826240061
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.6056202798743
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.86070496147059
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.016641878076122
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,11.828961730918538
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,12.286795122108467
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,12.629079657489251
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.031504949708646
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,12.572433033757576
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.346217123424942
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.234426839026701
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.950321963037172
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,12.528540128938916
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.48931738757702
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.145605823762656
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.84932029680269
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.398662139500745
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.328822322093844
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.48931738757702
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,12.82101771514535
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,11.96732041003281
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,793,11.486016648413012
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,12.593679235337024
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,12.48931738757702
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.984028489659265
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,11.8094161276284
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.99009518660433
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,12.479266519061989
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,12.302986084881335
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.879106400501152
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.09380499712438
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.264086804227137
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,12.346217123424942
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,12.674415521488273
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.322868527443921
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,12.306994324111145
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,11.786115533768573
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,12.823407325129136
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.05853505097316
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,12.614480087392462
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.894785006800006
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.043030049531263
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,12.477583414441666
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.467666558564613
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,12.794348079853945
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.53480436668867
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.956020277658746
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.391335705192915
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.223612911694648
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.240855641952603
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,12.751682231533106
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,12.294925658999173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.2365727521785
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,12.916762548783247
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.560448159572696
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.000468132113847
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.266174777931607
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.727173568846068
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.512925464970229
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.589553117205119
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,12.946744904661823
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.33266564810046
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,12.707114564560094
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.10854250343196
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.132641367444291
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.794348079853945
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.062190987414528
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,11.995018225313283
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.383959383034016
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,12.365266302432104
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.556975965645655
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.465710118756174
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.56008655204726
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,11.129334366775014
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.223612911694648
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,11.339405064129343
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.705510834829802
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.37090888798311
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.270333002983815
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,12.530139683431386
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.751871496787873
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,11.60983436613825
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.55828364171215
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,13.165658471291781
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,12.81766263883778
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.318923538140995
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,12.93826985160017
